name	version	license	license_source
walkdir	2.5.0	Unlicense/MIT	vendor/walkdir/Cargo.toml
wasi	0.11.0+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/wasi-0.11.0+wasi-snapshot-preview1/Cargo.toml
wasi	0.14.2+wasi-0.2.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/wasi/Cargo.toml
wasm-bindgen	0.2.100	MIT OR Apache-2.0	vendor/wasm-bindgen/Cargo.toml
wasm-bindgen-backend	0.2.100	MIT OR Apache-2.0	vendor/wasm-bindgen-backend/Cargo.toml
wasm-bindgen-macro	0.2.100	MIT OR Apache-2.0	vendor/wasm-bindgen-macro/Cargo.toml
wasm-bindgen-macro-support	0.2.100	MIT OR Apache-2.0	vendor/wasm-bindgen-macro-support/Cargo.toml
wasm-bindgen-shared	0.2.100	MIT OR Apache-2.0	vendor/wasm-bindgen-shared/Cargo.toml
weezl	0.1.8	MIT OR Apache-2.0	vendor/weezl/Cargo.toml
which	7.0.2	MIT	vendor/which/Cargo.toml
winapi	0.3.9	MIT/Apache-2.0	vendor/winapi/Cargo.toml
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0	vendor/winapi-i686-pc-windows-gnu/Cargo.toml
winapi-util	0.1.9	Unlicense OR MIT	vendor/winapi-util/Cargo.toml
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	vendor/winapi-x86_64-pc-windows-gnu/Cargo.toml
windows	0.56.0	MIT OR Apache-2.0	vendor/windows/Cargo.toml
windows-core	0.56.0	MIT OR Apache-2.0	vendor/windows-core-0.56.0/Cargo.toml
windows-core	0.61.0	MIT OR Apache-2.0	vendor/windows-core/Cargo.toml
windows-implement	0.56.0	MIT OR Apache-2.0	vendor/windows-implement-0.56.0/Cargo.toml
windows-implement	0.60.0	MIT OR Apache-2.0	vendor/windows-implement/Cargo.toml
windows-interface	0.56.0	MIT OR Apache-2.0	vendor/windows-interface-0.56.0/Cargo.toml
windows-interface	0.59.1	MIT OR Apache-2.0	vendor/windows-interface/Cargo.toml
windows-link	0.1.1	MIT OR Apache-2.0	vendor/windows-link/Cargo.toml
windows-result	0.1.2	MIT OR Apache-2.0	vendor/windows-result-0.1.2/Cargo.toml
windows-result	0.3.2	MIT OR Apache-2.0	vendor/windows-result/Cargo.toml
windows-strings	0.4.0	MIT OR Apache-2.0	vendor/windows-strings/Cargo.toml
windows-sys	0.52.0	MIT OR Apache-2.0	vendor/windows-sys-0.52.0/Cargo.toml
windows-sys	0.59.0	MIT OR Apache-2.0	vendor/windows-sys/Cargo.toml
windows-targets	0.52.6	MIT OR Apache-2.0	vendor/windows-targets/Cargo.toml
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	vendor/windows_aarch64_gnullvm/Cargo.toml
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	vendor/windows_aarch64_msvc/Cargo.toml
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	vendor/windows_i686_gnu/Cargo.toml
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	vendor/windows_i686_gnullvm/Cargo.toml
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	vendor/windows_i686_msvc/Cargo.toml
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	vendor/windows_x86_64_gnu/Cargo.toml
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	vendor/windows_x86_64_gnullvm/Cargo.toml
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	vendor/windows_x86_64_msvc/Cargo.toml
winnow	0.7.6	MIT	vendor/winnow/Cargo.toml
winsafe	0.0.19	MIT	vendor/winsafe/Cargo.toml
wit-bindgen-rt	0.39.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/wit-bindgen-rt/Cargo.toml
yazi-prebuilt	0.1.0	MIT	vendor/yazi-prebuilt/Cargo.toml
